駅名,利用者数
会津横田,0
会津水沼,0
会津田島,561
会津若松,5162
会津荒海,46
会津蒲生,0
会津西方,0
会津豊川,0
会津越川,0
会津長野,14
会津高原尾瀬口,511
会津高田,0
伝法,8267
伝馬町,15494
伯耆大山,1472
伯耆溝口,156
伴,2852
伴中央,1402
似内,0
伽羅橋,1538
佃,60
但馬,893
住ノ江,12304
住之江公園,31046
住吉,71224
住吉公園,0
住吉大社,9020
住吉東,6578
住吉町,6605
住吉通,85
住吉鳥居前,1382
住道,61998
佐々,523
佐々木,1772
佐世保,7326
佐世保中央,954
佐久,0
佐久平,6226
佐久広瀬,0
佐久海ノ口,0
佐久間,14
佐伯,1454
佐伯区役所前,2480
佐倉,20498
佐原,6390
佐古,1712
佐古木,2666
佐味田川,1446
佐和,7810
佐土原,2260
佐奈,78
佐屋,4374
佐川,766
佐志生,0
佐敷,573
佐津,146
佐用,1120
佐羽根,6
佐良山,36
佐貫,2305
佐貫町,448
佐賀,24696
佐賀公園,2
佐那具,210
佐里,0
佐野,7176
佐野のわたし,134
佐野市,696
体験坑道,117
余呉,320
余子,684
余市,1262
余戸,2496
余目,1006
余部,4456
作並,372
作木口,0
作草部,3996
佳景山,0
侍浜,0
依那古,79
俊徳道,6699
保々,1286
保内,0
保原,1007
保土ヶ谷,68730
保津峡,718
保田,500
保見,1333
保谷,63372
信太山,7860
信州中野,3008
信木,0
信楽,892
信濃吉田,2843
信濃国分寺,1111
信濃境,0
信濃大町,2472
信濃川上,242
信濃川島,0
信濃川田,0
信濃常盤,0
信濃平,0
信濃木崎,0
信濃松川,1170
信濃森上,0
信濃浅野,294
信濃町,52516
信濃白鳥,14
信濃竹原,52
信濃荒井,81
信濃追分,492
信砂,0
信貴山下,2606
信貴山口,1380
修善寺,4580
修大協創中高前,4122
修学院,2892
俵田,0
倉吉,4106
倉敷,38954
倉敷市,4659
倉本,29
倉橋,0
倉永,1141
倉見,0
倉賀野,3698
倶利伽羅,257
倶知安,988
偕楽園,0
健軍交番前,663
健軍校前,1043
健軍町,5834
傘松,1370
備中呉妹,87
備中川面,102
備中広瀬,108
備中神代,14
備中箕島,402
備中高松,2594
備中高梁,3756
備前一宮,2052
備前三門,2294
備前原,196
備前片上,300
備前片岡,470
備前田井,636
備前福河,60
備前西市,3626
備後三川,36
備後三日市,2
備後八幡,0
備後安田,14
備後庄原,254
備後本庄,870
備後矢野,18
備後落合,28
備後西城,72
備後赤坂,3690
儀保,2973
元住吉,67853
元加治,7035
元善光寺,471
元宇品口,1181
元山,18159
元山上口,1465
元田中,906
元町,71864
元町・中華街,63291
兄畑,0
光,4596
光が丘,63120
光の森,5410
光善寺,17545
光岡,0
光明寺,22
光明池,30115
光洋台,258
光珠内,0
光風台,3459
免田,276
児島,9106
児玉,746
兜,1
